,Mun,UF,Atingido_Alagamentos,Atingido_Des,Atingido_Enchente,Atingido_Enxurrada,Nao_ATV_P&DC,Nao_Instr_Inundacao,Nao_Medida_Estrutural_RRD,Nao_RR_Seca,Nao_Red_Des,Nao_Red_Enchente,Nao_Red_Enxurrada,Tem_Instr_Deslizamento,Tem_Red_Des
2807,Paula Cândido,MG,0,1,0,1,0,0,0,0,0,0,0,1,1
2808,Paulistas,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
2809,Pavão,MG,0,1,0,1,0,0,0,0,0,0,0,0,1
2810,Peçanha,MG,0,1,0,0,1,0,0,0,0,0,0,1,1
2811,Pedra Azul,MG,1,1,0,1,0,0,0,0,0,0,0,1,1
2812,Pedra Bonita,MG,0,1,1,0,0,1,0,0,1,1,0,0,0
2813,Pedra do Anta,MG,0,0,1,1,0,0,0,0,0,0,0,0,0
2814,Pedra do Indaiá,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2815,Pedra Dourada,MG,1,0,1,0,0,1,0,0,0,1,0,0,0
2816,Pedralva,MG,1,1,1,0,0,0,0,0,1,0,0,1,1
2817,Pedras de Maria da Cruz,MG,0,0,0,0,0,0,0,0,0,0,0,0,0
2818,Pedrinópolis,MG,0,0,0,0,1,1,0,0,0,0,0,1,1
2819,Pedro Leopoldo,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2820,Pedro Teixeira,MG,1,1,1,1,0,1,0,0,0,0,0,0,1
2821,Pequeri,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2822,Pequi,MG,0,0,0,0,0,1,0,0,0,0,0,1,1
2823,Perdigão,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2824,Perdizes,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2825,Perdões,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
2826,Periquito,MG,1,0,0,1,0,0,0,0,0,0,0,1,1
2827,Pescador,MG,0,0,0,1,0,0,0,0,0,0,0,1,1
2828,Piau,MG,0,0,1,0,0,1,0,0,0,1,0,0,0
2829,Piedade de Caratinga,MG,0,0,0,0,1,1,1,0,0,0,0,0,0
2830,Piedade de Ponte Nova,MG,0,1,1,1,0,0,0,0,0,0,0,1,1
2831,Piedade do Rio Grande,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2832,Piedade dos Gerais,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2833,Pimenta,MG,0,0,0,1,0,1,0,0,0,0,0,0,0
2834,Pingo-dÁgua,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2835,Pintópolis,MG,1,1,1,1,0,0,0,0,1,1,1,0,0
2836,Piracema,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2837,Pirajuba,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2838,Piranga,MG,0,1,1,1,0,0,0,0,0,0,0,1,1
2839,Piranguçu,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2840,Piranguinho,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2841,Pirapetinga,MG,0,0,0,0,1,0,0,0,0,0,0,1,1
2842,Pirapora,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
2843,Piraúba,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2844,Pitangui,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2845,Piumhi,MG,0,0,0,0,0,0,0,0,0,0,0,1,0
2846,Planura,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2847,Poço Fundo,MG,1,1,1,1,0,0,0,0,1,0,0,1,0
2848,Poços de Caldas,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
2849,Pocrane,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
2850,Pompéu,MG,1,0,1,0,0,1,0,0,0,0,0,0,0
2851,Ponte Nova,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2852,Ponto Chique,MG,1,0,1,0,0,1,0,0,0,0,0,1,1
2853,Ponto dos Volantes,MG,0,0,0,0,0,0,0,0,0,0,0,0,0
2854,Porteirinha,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2855,Porto Firme,MG,0,1,1,0,0,1,0,0,0,1,0,0,1
2856,Poté,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2857,Pouso Alegre,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2858,Pouso Alto,MG,1,0,1,0,0,0,0,0,0,0,0,1,1
2859,Prados,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2860,Prata,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2861,Pratápolis,MG,0,0,0,0,1,1,0,0,0,0,0,1,1
2862,Pratinha,MG,0,0,0,0,0,0,0,1,0,0,0,1,1
2863,Presidente Bernardes,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2864,Presidente Juscelino,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2865,Presidente Kubitschek,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2866,Presidente Olegário,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2867,Alto Jequitibá,MG,0,1,1,0,1,1,0,0,1,0,0,0,0
2868,Prudente de Morais,MG,0,0,0,0,1,1,0,1,0,0,0,0,0
2869,Quartel Geral,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2870,Queluzito,MG,1,0,1,0,0,0,0,0,0,1,0,1,1
2871,Raposos,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2872,Raul Soares,MG,1,1,1,1,0,1,0,0,0,0,0,1,1
2873,Recreio,MG,0,1,0,1,0,0,0,0,0,0,0,1,1
2874,Reduto,MG,0,0,1,0,0,0,0,0,0,1,0,0,0
2875,Resende Costa,MG,0,0,0,0,0,1,0,0,0,0,0,1,1
2876,Resplendor,MG,1,1,0,1,0,0,0,0,0,0,0,1,1
2877,Ressaquinha,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2878,Riachinho,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2879,Riacho dos Machados,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2880,Ribeirão das Neves,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2881,Ribeirão Vermelho,MG,0,0,0,0,1,0,0,0,0,0,0,1,1
2882,Rio Acima,MG,1,1,1,1,0,0,0,0,0,1,1,1,1
2883,Rio Casca,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2884,Rio Doce,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
2885,Rio do Prado,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2886,Rio Espera,MG,1,0,1,1,1,1,1,0,0,0,0,0,0
2887,Rio Manso,MG,0,0,1,0,0,1,0,0,0,0,0,1,1
2888,Rio Novo,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2889,Rio Paranaíba,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2890,Rio Pardo de Minas,MG,0,1,1,1,0,0,0,0,0,0,0,1,1
2891,Rio Piracicaba,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2892,Rio Pomba,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2893,Rio Preto,MG,1,1,1,0,0,0,0,0,0,0,0,1,1
2894,Rio Vermelho,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2895,Ritápolis,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2896,Rochedo de Minas,MG,1,0,1,1,1,1,0,0,0,0,0,0,0
2897,Rodeiro,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2898,Romaria,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2899,Rosário da Limeira,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2900,Rubelita,MG,0,0,0,0,1,0,0,0,0,0,0,0,0
2901,Rubim,MG,0,0,0,1,0,0,0,0,0,0,0,1,1
2902,Sabará,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2903,Sabinópolis,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2904,Sacramento,MG,1,0,0,1,0,1,0,0,0,0,0,1,0
2905,Salinas,MG,1,0,1,1,0,0,0,0,0,1,0,1,1
2906,Salto da Divisa,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2907,Santa Bárbara,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2908,Santa Bárbara do Leste,MG,0,1,0,0,0,0,0,0,1,0,0,1,1
2909,Santa Bárbara do Monte Verde,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2910,Santa Bárbara do Tugúrio,MG,1,1,1,0,1,0,0,0,0,0,0,1,1
2911,Santa Cruz de Minas,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
2912,Santa Cruz de Salinas,MG,1,0,1,1,0,1,0,0,0,0,0,0,0
2913,Santa Cruz do Escalvado,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2914,Santa Efigênia de Minas,MG,0,1,0,0,0,1,0,0,0,0,0,0,1
2915,Santa Fé de Minas,MG,1,0,0,0,0,1,0,0,0,0,0,0,0
2916,Santa Helena de Minas,MG,1,0,1,1,1,1,1,0,0,1,1,1,1
2917,Santa Juliana,MG,1,0,1,1,0,0,1,0,0,0,0,0,0
2918,Santa Luzia,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2919,Santa Margarida,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2920,Santa Maria de Itabira,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
2921,Santa Maria do Salto,MG,0,1,0,1,0,0,0,0,0,0,0,1,1
2922,Santa Maria do Suaçuí,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2923,Santana da Vargem,MG,0,0,0,0,0,0,0,0,0,0,0,1,0
2924,Santana de Cataguases,MG,0,1,0,0,0,1,0,0,0,0,0,0,1
2925,Santana de Pirapama,MG,1,0,1,0,0,0,0,0,0,0,0,1,1
2926,Santana do Deserto,MG,0,1,0,0,0,1,0,0,0,0,0,0,1
2927,Santana do Garambéu,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2928,Santana do Jacaré,MG,0,0,1,0,0,1,0,0,0,0,0,0,0
2929,Santana do Manhuaçu,MG,0,0,1,0,0,1,0,0,0,1,0,0,0
2930,Santana do Paraíso,MG,1,0,1,1,0,0,0,0,0,1,1,1,1
2931,Santana do Riacho,MG,1,0,1,1,0,1,0,0,0,1,1,0,0
2932,Santana dos Montes,MG,1,0,1,0,0,0,0,0,0,0,0,1,1
2933,Santa Rita de Caldas,MG,0,0,0,0,1,1,1,0,0,0,0,0,0
2934,Santa Rita de Jacutinga,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2935,Santa Rita de Minas,MG,1,0,1,0,0,1,0,0,0,0,0,0,0
2936,Santa Rita de Ibitipoca,MG,0,0,0,0,1,1,1,0,0,0,0,0,0
2937,Santa Rita do Itueto,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2938,Santa Rita do Sapucaí,MG,1,0,0,0,0,0,0,0,0,0,0,1,1
2939,Santa Rosa da Serra,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2940,Santa Vitória,MG,0,0,0,1,0,1,0,0,0,0,0,1,1
2941,Santo Antônio do Amparo,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2942,Santo Antônio do Aventureiro,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2943,Santo Antônio do Grama,MG,1,1,1,1,0,1,0,0,0,0,0,0,1
2944,Santo Antônio do Itambé,MG,1,1,1,1,0,0,0,0,0,0,1,1,1
2945,Santo Antônio do Jacinto,MG,1,1,1,1,0,0,0,0,1,0,0,1,1
2946,Santo Antônio do Monte,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
2947,Santo Antônio do Retiro,MG,0,0,0,0,0,1,1,0,0,0,0,0,0
2948,Santo Antônio do Rio Abaixo,MG,1,1,1,1,0,1,0,0,0,0,0,1,1
2949,Santo Hipólito,MG,1,0,1,1,0,1,0,0,0,1,1,0,0
2950,Santos Dumont,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2951,São Bento Abade,MG,1,0,1,1,0,0,0,0,0,0,0,1,0
2952,São Brás do Suaçuí,MG,0,1,1,1,0,0,0,0,0,0,0,1,1
2953,São Domingos das Dores,MG,0,1,0,0,0,0,0,0,0,0,0,1,1
2954,São Domingos do Prata,MG,1,1,0,1,0,0,0,0,0,0,0,0,1
2955,São Félix de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2956,São Francisco,MG,1,0,1,0,0,0,0,0,0,1,0,1,1
2957,São Francisco de Paula,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2958,São Francisco de Sales,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2959,São Francisco do Glória,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2960,São Geraldo,MG,1,0,1,1,0,0,0,0,0,0,0,1,0
2961,São Geraldo da Piedade,MG,1,1,0,1,0,0,0,0,0,0,0,1,1
2962,São Geraldo do Baixio,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2963,São Gonçalo do Abaeté,MG,0,0,0,0,1,0,0,0,0,0,0,0,0
2964,São Gonçalo do Pará,MG,0,1,1,1,0,1,0,0,0,0,0,0,0
2965,São Gonçalo do Rio Abaixo,MG,1,1,0,1,0,0,0,0,0,0,0,1,1
2966,São Gonçalo do Sapucaí,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2967,São Gotardo,MG,0,0,0,1,0,0,0,0,0,0,1,1,1
2968,São João Batista do Glória,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2969,São João da Lagoa,MG,0,0,1,0,0,1,0,0,0,0,0,0,0
2970,São João da Mata,MG,1,1,1,0,0,0,0,0,0,0,0,1,1
2971,São João da Ponte,MG,0,0,0,0,1,1,1,0,0,0,0,0,0
2972,São João das Missões,MG,1,0,1,1,0,1,0,0,0,0,0,0,0
2973,São João del Rei,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2974,São João do Manhuaçu,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2975,São João do Manteninha,MG,0,1,0,0,0,0,1,0,0,0,0,1,1
2976,São João do Oriente,MG,1,1,0,0,1,1,0,0,0,0,0,0,1
2977,São João do Pacuí,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2978,São João do Paraíso,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2979,São João Evangelista,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2980,São João Nepomuceno,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2981,São Joaquim de Bicas,MG,1,1,0,1,0,1,0,0,0,0,0,1,1
2982,São José da Barra,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2983,São José da Lapa,MG,0,0,1,1,0,0,0,0,0,0,0,1,0
2984,São José da Safira,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2985,São José da Varginha,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2986,São José do Alegre,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
2987,São José do Divino,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2988,São José do Goiabal,MG,1,0,1,1,0,1,0,0,0,0,1,0,0
2989,São José do Jacuri,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
2990,São José do Mantimento,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
2991,São Lourenço,MG,1,0,0,1,0,0,0,0,0,0,0,0,0
2992,São Miguel do Anta,MG,1,1,1,1,0,1,0,0,1,1,1,1,1
2993,São Pedro da União,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2994,São Pedro dos Ferros,MG,0,0,1,0,1,1,1,0,0,0,0,0,0
2995,São Pedro do Suaçuí,MG,0,1,0,0,0,0,0,0,0,0,0,1,1
2996,São Romão,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
2997,São Roque de Minas,MG,0,1,1,0,0,1,0,0,0,1,0,0,1
2998,São Sebastião da Bela Vista,MG,1,0,1,1,0,1,0,0,0,0,0,0,0
2999,São Sebastião da Vargem Alegre,MG,1,1,1,1,0,1,0,0,0,0,0,0,1
3000,São Sebastião do Anta,MG,0,0,0,1,0,1,0,1,0,0,1,1,1
3001,São Sebastião do Maranhão,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3002,São Sebastião do Oeste,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3003,São Sebastião do Paraíso,MG,1,0,0,1,0,0,0,0,0,0,0,0,0
3004,São Sebastião do Rio Preto,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
3005,São Sebastião do Rio Verde,MG,0,0,1,0,0,0,0,0,0,0,0,0,0
3006,São Tiago,MG,0,1,0,0,1,1,1,0,0,0,0,0,1
3007,São Tomás de Aquino,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3008,São Tomé das Letras,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3009,São Vicente de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3010,Sapucaí-Mirim,MG,0,0,1,0,0,0,0,0,0,0,0,1,0
3011,Sardoá,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
3012,Sarzedo,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3013,Setubinha,MG,0,1,0,0,0,0,0,0,0,0,0,0,1
3014,Sem-Peixe,MG,1,1,1,1,0,1,0,0,0,0,0,0,1
3015,Senador Amaral,MG,0,1,0,0,0,1,0,0,0,0,0,0,1
3016,Senador Cortes,MG,0,0,0,0,0,0,0,0,0,0,0,1,0
3017,Senador Firmino,MG,1,0,1,1,0,1,0,0,0,0,0,0,0
3018,Senador José Bento,MG,0,0,1,1,0,0,0,0,0,1,1,1,1
3019,Senador Modestino Gonçalves,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3020,Senhora de Oliveira,MG,0,1,0,1,0,0,0,0,1,0,0,1,1
3021,Senhora do Porto,MG,0,0,0,1,0,1,0,1,0,0,1,0,0
3022,Senhora dos Remédios,MG,1,0,1,0,1,1,0,0,0,0,0,0,0
3023,Sericita,MG,1,1,1,1,1,1,1,0,1,1,1,0,0
3024,Seritinga,MG,0,0,0,0,1,1,0,0,0,0,0,1,1
3025,Serra Azul de Minas,MG,1,1,1,1,0,1,0,1,0,1,1,0,1
3026,Serra da Saudade,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3027,Serra dos Aimorés,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3028,Serra do Salitre,MG,0,0,1,0,0,1,0,0,0,1,0,0,0
3029,Serrania,MG,1,0,0,0,0,1,0,0,0,0,0,0,0
3030,Serranópolis de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3031,Serranos,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3032,Serro,MG,1,1,1,1,0,0,0,0,0,1,1,1,1
3033,Sete Lagoas,MG,1,1,0,1,0,0,0,0,1,0,0,1,1
3034,Silveirânia,MG,1,1,0,1,0,0,0,0,0,0,1,1,1
3035,Silvianópolis,MG,0,0,0,0,0,1,0,0,0,0,0,1,0
3036,Simão Pereira,MG,1,0,1,1,0,0,0,0,0,0,0,1,1
3037,Simonésia,MG,0,0,1,0,0,1,0,0,0,0,0,0,0
3038,Sobrália,MG,1,0,1,1,0,1,0,0,0,0,0,0,0
3039,Soledade de Minas,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3040,Tabuleiro,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3041,Taiobeiras,MG,1,0,0,1,0,0,0,0,0,0,0,0,0
3042,Taparuba,MG,0,0,1,0,0,0,1,0,0,1,0,1,1
3043,Tapira,MG,1,1,1,1,0,1,0,1,0,0,0,0,1
3044,Tapiraí,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3045,Taquaraçu de Minas,MG,1,0,0,0,1,1,0,0,0,0,0,0,0
3046,Tarumirim,MG,1,1,1,1,0,0,0,0,1,1,1,1,1
3047,Teixeiras,MG,1,1,1,1,0,1,0,1,0,0,0,0,1
3048,Teófilo Otoni,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3049,Timóteo,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3050,Tiradentes,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3051,Tiros,MG,1,0,0,0,0,0,0,0,0,0,0,1,1
3052,Tocantins,MG,1,1,1,0,0,0,0,0,0,0,0,1,1
3053,Tocos do Moji,MG,0,0,0,1,0,1,0,0,0,0,0,1,1
3054,Toledo,MG,0,0,0,0,0,0,0,0,0,0,0,0,0
3055,Tombos,MG,1,1,1,1,0,1,0,0,0,1,1,0,1
3056,Três Corações,MG,1,1,1,1,0,0,0,0,0,1,0,1,1
3057,Três Marias,MG,1,0,1,1,0,0,0,0,0,0,0,0,0
3058,Três Pontas,MG,0,0,0,1,0,0,0,0,0,0,0,0,0
3059,Tumiritinga,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3060,Tupaciguara,MG,0,0,0,0,0,0,0,0,0,0,0,0,0
3061,Turmalina,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
3062,Turvolândia,MG,0,0,1,1,0,1,0,0,0,0,1,0,0
3063,Ubá,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3064,Ubaí,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
3065,Ubaporanga,MG,1,0,1,0,0,0,0,0,0,1,0,1,1
3066,Uberaba,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3067,Uberlândia,MG,1,0,0,1,0,0,0,0,0,0,0,0,0
3068,Umburatiba,MG,0,0,0,1,0,0,0,0,0,0,0,1,1
3069,Unaí,MG,0,0,0,1,0,0,0,0,0,0,0,1,1
3070,União de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3071,Uruana de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3072,Urucânia,MG,1,1,1,1,0,1,1,0,0,1,1,0,1
3073,Urucuia,MG,0,0,0,1,0,0,0,0,0,0,0,1,1
3074,Vargem Alegre,MG,1,0,1,0,0,1,0,0,0,0,0,1,1
3075,Vargem Bonita,MG,1,1,1,0,0,1,0,0,1,1,0,0,0
3076,Vargem Grande do Rio Pardo,MG,0,0,0,0,0,1,0,0,0,0,0,1,1
3077,Varginha,MG,1,0,1,1,0,0,0,0,0,0,0,1,0
3078,Varjão de Minas,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3079,Várzea da Palma,MG,1,0,1,1,0,0,0,0,0,1,0,1,1
3080,Varzelândia,MG,0,0,0,0,0,0,0,0,0,0,0,1,1
3081,Vazante,MG,0,0,0,0,0,0,1,0,0,0,0,1,1
3082,Verdelândia,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3083,Veredinha,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3084,Veríssimo,MG,0,0,0,0,1,1,0,0,0,0,0,0,0
3085,Vermelho Novo,MG,0,1,0,1,0,1,0,0,0,0,0,1,1
3086,Vespasiano,MG,1,1,1,1,0,0,0,0,0,1,0,1,1
3087,Viçosa,MG,1,1,1,1,0,0,0,0,0,0,0,1,1
3088,Vieiras,MG,1,0,1,0,0,1,0,0,0,1,0,0,0
3089,Mathias Lobato,MG,0,0,0,0,1,0,1,0,0,0,0,1,1
3090,Virgem da Lapa,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3091,Virgínia,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3092,Virginópolis,MG,0,0,0,0,0,1,0,0,0,0,0,1,1
3093,Virgolândia,MG,0,0,0,0,0,1,0,0,0,0,0,1,1
3094,Visconde do Rio Branco,MG,0,1,0,0,0,0,0,0,1,0,0,1,1
3095,Volta Grande,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3096,Wenceslau Braz,MG,0,0,0,0,0,1,0,0,0,0,0,0,0
3097,Afonso Cláudio,ES,1,0,1,1,0,0,0,0,0,1,1,1,1
3098,Águia Branca,ES,1,0,1,0,1,0,1,0,0,0,0,1,1
3099,Água Doce do Norte,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3100,Alegre,ES,1,0,1,1,0,0,0,0,0,1,1,1,1
3101,Alfredo Chaves,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3102,Alto Rio Novo,ES,1,1,1,0,0,0,0,0,0,1,0,1,1
3103,Anchieta,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3104,Apiacá,ES,1,1,1,1,0,0,0,0,0,1,1,1,1
3105,Aracruz,ES,1,0,0,1,0,0,0,0,0,0,0,1,1
3106,Atilio Vivacqua,ES,1,0,1,1,0,0,0,0,0,0,0,1,1
3107,Baixo Guandu,ES,1,0,1,1,0,0,0,0,0,0,0,1,1
3108,Barra de São Francisco,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3109,Boa Esperança,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3110,Bom Jesus do Norte,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3111,Brejetuba,ES,0,0,1,0,0,0,0,0,0,0,0,1,1
3112,Cachoeiro de Itapemirim,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3113,Cariacica,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3114,Castelo,ES,1,1,0,1,0,0,0,0,0,0,0,1,1
3115,Colatina,ES,1,1,1,1,0,0,0,0,0,1,1,1,1
3116,Conceição da Barra,ES,1,0,1,1,0,0,0,0,0,0,0,1,0
3117,Conceição do Castelo,ES,0,1,1,0,0,0,0,0,0,0,0,1,1
3118,Divino de São Lourenço,ES,1,1,1,1,0,0,0,0,1,1,1,1,1
3119,Domingos Martins,ES,1,1,1,1,0,0,0,0,0,1,1,1,1
3120,Dores do Rio Preto,ES,1,1,1,1,0,0,0,0,0,0,1,1,1
3121,Ecoporanga,ES,0,1,0,0,0,0,0,0,1,0,0,1,1
3122,Fundão,ES,1,0,1,1,0,0,0,0,0,1,1,1,1
3123,Governador Lindenberg,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3124,Guaçuí,ES,1,1,1,1,0,0,0,0,0,1,1,1,1
3125,Guarapari,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3126,Ibatiba,ES,1,1,1,1,0,1,0,0,1,0,0,0,0
3127,Ibiraçu,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3128,Ibitirama,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3129,Iconha,ES,1,1,1,1,0,0,0,0,1,1,1,1,1
3130,Irupi,ES,1,1,1,1,0,0,0,0,1,0,0,1,1
3131,Itaguaçu,ES,0,1,0,0,0,0,0,0,0,0,0,1,1
3132,Itapemirim,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3133,Itarana,ES,0,1,0,0,0,0,0,0,1,0,0,1,1
3134,Iúna,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3135,Jaguaré,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3136,Jerônimo Monteiro,ES,1,0,1,1,0,0,0,0,0,0,0,1,1
3137,João Neiva,ES,1,1,1,1,0,0,0,0,0,0,0,1,1
3138,Laranja da Terra,ES,0,1,1,0,0,0,0,0,0,0,0,1,1
3139,Linhares,ES,1,0,1,1,0,0,0,0,0,0,0,0,0
3140,Mantenópolis,ES,1,1,0,1,0,0,0,1,0,0,0,1,1
3141,Marataízes,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3142,Marechal Floriano,ES,1,1,1,1,0,0,0,0,1,1,1,1,1
3143,Marilândia,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3144,Mimoso do Sul,ES,1,1,1,1,0,0,0,1,0,1,1,1,1
3145,Montanha,ES,0,1,0,0,0,0,0,0,0,0,0,1,1
3146,Mucurici,ES,0,0,0,0,0,0,0,0,0,0,0,1,1
3147,Muniz Freire,ES,1,1,1,1,0,0,0,0,0,1,1,1,1
